Disease Name,Pet affected,Related Diseases,Symptoms,Predisposed Breeds,Risk Factors,Diagnosis Method,Cause,General Treatment,Medical Treatment, Surgical Treatment,Average Hospital Stay,Preventative Measures,Prognosis,
Serotonin Syndrome in Dogs and Cats,Dogs and Cats,Not Known,"GI upset (vomiting, diarrhea, loss of appetite), Dilated pupils, Increased heart rate, Fever, Muscle tremors or jerking, Restlessness, Difficulty walking, Agitation, Excitation, Disorientation, Vocalization, Seizures",Not Known,"Ingestion of serotonin-enhancing medications, Dietary supplements, Certain foods with high levels of tryptophan","History of ingestion, Clinical signs","Buildup of high levels of serotonin due to medications, supplements, or food","Varies based on clinical signs, Hospitalization in severe cases",Not Specified,Not Applicable,Depends on severity,"Proper storage of medications and supplements, Monitoring pet’s access to foods high in tryptophan","Dependent on what was ingested, how much, and duration of symptoms",
Shar-Pei Recurrent Fever Syndrome,Dog,Amyloidosis,"Recurrent fevers, Listlessness, Lack of appetite, Swollen hocks and muzzle, Nausea, Diarrhea",Chinese Shar-Pei,Genetic mutation related to hyaluronan production,"Physical examination, Blood testing, Genetic testing (copy number variant)","Genetic mutation leading to excessive and poor quality hyaluronan, causing inflammation","Anti-inflammatory medications for fever episodes, Screening for urinary protein loss","Colchicine, Antioxidants, Omega 3 fatty acids, Multivitamins, Vitamin C, Glucosamine supplements",Not Applicable,Not Known,"Regular screening for urinary protein loss, Early intervention with medications",Dependent on early diagnosis and prevention of kidney damage,
Skin Biopsies in Dogs and Cats,Dogs and Cats,Not Known,Not Applicable,Not Known,Not Known,"Wedge biopsy, Excisional biopsy, Punch biopsy, Shave biopsy","Various skin conditions, including cancer",Minor skin surgery to remove a piece of skin for examination,Not Applicable,"Wedge biopsy, Excisional biopsy, Punch biopsy, Shave biopsy",Not Known,"[""Follow veterinarian's instructions for pre-biopsy preparation""]",Dependent on the diagnosed condition,
Spina Bifida in Dogs and Cats,Dogs and Cats,Not Known,"Abnormal control of urination and bowel movements, movement abnormalities in the pelvic limbs, possible leakage of cerebrospinal fluid","English bullDogs, French bullDogs, Pugs, Boston Terriers, Manx cats","Genetic factors, Nutritional problems, Exposure to certain chemicals and toxins during pregnancy","X-rays, Myelography, Computed tomography (CT), Magnetic resonance imaging (MRI)",Abnormal growth and development of the spine during embryonic development,"Supportive care for minor cases, Reconstructive surgery for mild cases, Management of fecal and urinary incontinence","Medications for urinary and fecal incontinence, Pain control",Reconstructive surgery,Not Known,Avoid breeding affected Dogs and cats,"Good for clinically normal pets, Guarded for pets with severe nerve damage or lack of function",
Splenic Masses in Dogs (Splenectomy),Dog,"Hemangioma, Hemangiosarcoma","Sudden weakness, coldness, pale gums, dramatic improvement after a bleed, eventual death from bleeding without treatment",Not Known,Aging,"Physical examination, Radiographs, Blood panel, Chest radiographs for tumor spread, Abdominal ultrasound","Tumors growing on the spleen, either benign or malignant","Observation for asymptomatic masses, Surgery (splenectomy) for symptomatic masses","Blood transfusions before/during/after surgery, Chemotherapy for malignant tumors",Splenectomy,Not Known,Not Known,"Curative for benign tumors if detected before severe bleeding, Variable for malignant tumors dependent on cancer spread and response to chemotherapy",
Spondylosis Deformans in Dogs and Cats,Dogs and Cats,Not Known,"No signs in most cases, stiffness in spine, restricted motion, pain, lameness, neuromuscular signs depending on the location of the deformity",Not Known,"Aging, Injury, Genetic predisposition","Physical exam, Biochemical profile, Complete blood count, Urinalysis, Electrolyte panel, Diagnostic imaging (radiographs, CT scan, myelography, MRI)","Noninflammatory, degenerative condition resulting in bone spurs along the vertebrae","No treatment for asymptomatic patients, Weight reduction, Controlled exercise or physiotherapy, Non-steroidal anti-inflammatory drugs for pain and stiffness",Non-steroidal anti-inflammatory drugs,Surgery for severe pain or damage to nerves or tissues,Not Known,Not Known,"Satisfactory life even with limited flexibility and range of motion, Prognosis depends on diagnostic testing and response to treatment",
Steroid Use in Dogs and Cats,Dogs and Cats,"Calcinosis cutis, Cushing's syndrome","Increased hunger, increased thirst, urinary incontinence, panting, loss of energy, hidden infection, thin skin, blackheads, poor wound healing, obesity, muscle weakness, calcinosis cutis",Not Known,"Long-term steroid use, Pre-existing conditions like pre-diabetes or borderline heart function",Not Applicable,Use of corticosteroids to treat various diseases,"Based on the disease being treated, monitoring for side effects","Prednisone, Prednisolone, Methylprednisolone, Dexamethasone, Other glucocorticoids",Not Known,Not Known,"Periodic monitoring with urine cultures, check-ups, and blood tests",Depends on the underlying condition and management of steroid side effects,
Strangles in Puppies,Dog,"Juvenile cellulitis, Sterile granulomatous dermatitis and lymphadenitis","Swelling of the muzzle, eyelids, face, enlarged lymph nodes, pimples that rupture, bleed, and crust, fever, joint swelling, loss of appetite","Golden Retriever, Dachshund, Gordon Setter",Age between 3 weeks and 6 months,"Physical appearance, Skin scrapes, Skin biopsy, Microscopic examination of pimple contents","Immune-mediated, No specific underlying cause identified",Immune-suppression,"High doses of corticosteroids (e.g., prednisone), Antibiotics for secondary infections",Not Known,Not Known,Not Known,"Good with treatment, condition generally resolves in 10 to 14 days and does not recur",
Stump Pyometra,Dogs and Cats,Cystic Endometrial Hyperplasia,"Vaginal discharge, fever, symptoms similar to uterine pyometra despite spaying.",Not Known,"Spayed animals, possible exposure to estrogen-containing products, surgical error leaving ovary remnants.","Radiographs, ultrasound, sometimes biopsies.","Estrogen or progesterone presence, possibly from ovarian remnants or exposure to hormone-containing products.",Surgical removal of the infected uterine stump.,Surgery required; medical treatment based on the hormonal source identification.,Removal of the infected stump and exploration for ovarian remnants.,Depends on the surgery and recovery.,Proper spaying technique; avoid exposure to hormone-containing products.,Good once the hormone source is identified and treated.,
Subaortic Stenosis in Dogs,Dog,Not Known,"Heart murmur, fainting spells, sudden death during exercise","Golden Retriever, Rottweiler, Newfoundland, Great Dane, Boxer, German Shepherd, German Short-haired pointer, Dogue de Bordeaux",Genetics,"Hearing the murmur, Chest radiographs, Echocardiography, Doppler study",Scar-like narrowing (stenosis) below the aortic valve,"Normal exercise tolerance, Normal life span","Beta blockers (e.g., atenolol)","Open heart surgery, Balloon valvuloplasty (Similar survival times as medical treatment)",Not Known,Not Known,"Varies; dependent on severity, Mildly affected Dogs may not require treatment, Severe cases have shorter survival without treatment",
Swimmer's Ear in Dogs,Dog,Otitis Externa,"head shaking, pawing at the head/ears, rubbing ears on objects, twitching of the ears, whining, restlessness",Not Known,"Swimming, Bathing, Underlying allergy (environmental allergy/atopy and food allergy), Parasites, Endocrine disorders, Systemic immune-suppressive disorders, Tumors in the ear canal","Monitoring for trends, Veterinary consultation","Water contaminated with bacteria trapped in the ear canal, Underlying conditions causing predisposition","Preventing water from entering the ear, Managing underlying conditions","Allergen-specific immunotherapy injections, Routine ear flushes",Not Known,Not Known,"Ear flushes, Drying ear drops, Managing environmental allergies",Good with proper management,
Swimmer's Tail in Dogs,Dog,Not Known,"limp tail that droops between the Dog's legs, tail stiffness, pain and discomfort, pacing, yelping, frequent position changes while lying down, reduced appetite, difficulty standing","Large breed, hunting, athletic and working Dogs such as Labrador retrievers and pointers","Overuse of the tail, Swimming in cold water, Intense physical activity, Prolonged transport in a cage, Being in cold and wet weather","Physical exam, History of recent activities, X-rays to rule out fractures",Strained muscles in the tail from overuse,"Rest, Reduced exercise","Anti-inflammatory drugs, Warm compresses on the tail",Not Known,Not Known,"Not overexerting the Dog, Letting the Dog out every 4 hours during transport","Excellent, recovery within 2-14 days, possible relapses",
Syringomyelia,Dog,"Chiari-like malformation, COMS, Occipital Dysplasia","Pain in the back of the neck, neurologic deficits and weaknesses","Cavalier King Charles Spaniel, and other breeds","Mismatch between skull size and brain size, congenital malformation, tumor, trauma",Magnetic Resonance Imaging (MRI),"Altered CSF flow due to congenital malformation, tumor, trauma, etc.","Surgery to decompress the CSF flow obstruction, Medications for pain relief and reducing CSF pressure","Furosemide, omeprazole to reduce CSF production, Gabapentin for neuropathic pain, Corticosteroids",Surgery to decompress the CSF flow obstruction,Varies based on treatment approach,Not applicable due to congenital nature,"Progressive condition, surgery and medications can provide relief but may not halt progression",
Systemic Lupus Erythematosus (SLE),Dog,Discoid lupus erythematosus (DLE),"Non-erosive polyarthritis, painful muscles, shifting lameness, skin sores and blisters, proteinuria, decreased platelet and white blood cell count, fluctuating fevers, immune mediated hemolytic anemia (IMHA), mouth ulcers, inflamed lining of the chest cavity or heart, dementia, swollen lymph nodes, seizures","Afghan Hounds, Beagles, German Shepherd Dogs, Irish Setters, Old English SheepDogs, Poodles, Rough Collies, Shetland SheepDogs","Middle-aged, sunlight exposure","Blood tests, ANA test",Autoimmune,Aimed at decreasing inflammation and autoimmune activity,"Corticosteroids (e.g. prednisone), second immunosuppressant (azathioprine, cyclophosphamide, or cyclosporine)",Not Known,Limit exposure to sunlight,"Varies; requires life-long treatment, sometimes results in death",,
Teeth Chattering in Dogs,Dog,Not Known,"Dental or oral pain, temporomandibular joint (TMJ) pain, anxiety, gastrointestinal issues, focal seizures",Greyhounds (for anxiety-related chattering),"Dental issues (abscess, broken teeth, gingivitis), TMJ arthritis, jaw fracture, gastrointestinal issues, neurological disease","Tooth-by-tooth exam under anesthesia with dental imaging (X-rays or CT scan), lab work, ultrasound, endoscopy, trial of anti-epileptic drugs for focal seizures","Dental or oral pain, TMJ pain, anxiety, gastrointestinal issues, focal seizures","Appropriate dental care, addressing underlying gastrointestinal or neurologic issues, anti-anxiety measures","Medications for gastrointestinal issues, anti-epileptic drugs for seizures","Dental surgery for affected teeth, surgery for gastrointestinal issues if necessary",Not Known,"Regular dental check-ups, managing gastrointestinal health, seizure management",Varies based on underlying cause and response to treatment,
